Area,Bedrooms,Bathrooms,YearBuilt,City,Garage,HousePrice
3643,3,4,1971,unknown,Yes,919031
1524,,3,2022,Nagpur,no,500103
1185,4,1,3025,Pune,Yes,"$472,652"
410,6,2,, pune ,No,436982
2511,1,1,,Nashik, ,488772
2496 sqft,1,3,3025,Kolhapur, ,540965
2559 sqft,5,4,,Nagpur,No,857780
1731,,1,, pune ,No,360729
2780,6,1,,Nashik,No,870982
3465,2,1,1800,Nagpur,YES,
"1,346",2,2,1979,unknown,no,360983
"2,699",1,2,1800,Kolhapur,No,558122
-1645,2,4,2013,Kolhapur,No,473223
3592 sqft,1,3,1961,Pune,No,819499
413,1,1,3025,Pune,No,139138
2512,,5,3025,Kolhapur,No,817966
3332,1,4,3025,Mumbai,YES,774282
1766,6,1,,Nashik,Unknown,685852
1460,6,3,3025,Nashik,Unknown,645089
1646,,5,3025,???,Yes,683666
1586,4,2,,Nagpur, ,537021
3476,6,1,1800,Nagpur, ,917290
2855,5,3,2001,Mumbai,no,858693
2908,3,5,1800, pune ,YES,807529
796,3,4,1979,Nashik,YES,392271
3235,4,2,3025,???,Yes,876757
3619,2,4,3025,Nagpur,Yes,881232
2263,4,4,1994, pune ,Yes,708005
3004,,4,,Pune,no,808217
2700,1,1,3025,Mumbai,no,524122
3753,3,3,1959,???,Yes,958779
1147,4,4,3025,Kolhapur, ,560561
1259,6,2,3025,Pune,Yes,540722
2773,3,5,1987,Nashik,YES,778123
1626,2,3,1800,Nagpur,Yes,492581
3686,5,2,1800,Nashik,No,949435
1044,6,2,,Kolhapur,No,576442
3624,1,3,,Mumbai, ,793348
2297,4,5,,Mumbai,YES,774661
2725,6,3,1968,Mumbai,Yes,885316
3079,2,2,1979,Kolhapur, ,715342
2910 sqft,5,1,2008,Mumbai,No,853392
2871 sqft,1,3,, pune ,No,697257
503,4,1,,Nagpur,No,314057
966,3,1,3025, pune ,Yes,382368
3941,5,2,1995,???,no,1050993
1922,2,5,2015, pune ,no,615083
3636,4,4,1999,???,Unknown,
"2,184",5,2,,???,Yes,663824
2306,2,4,3025,???,Yes,606650
1125,5,1,3025,Kolhapur,YES,461093
3982,1,5,2010,unknown,Yes,897503
2274,3,3,,Nashik,Unknown,695653
1307,5,3,,Nagpur,no,562118
422,3,2,1800,???, ,245068
476,5,4,,unknown,No,426345
3041,3,3,,Nagpur, ,765468
1337,1,5,1985,Nashik,Yes,405646
3629,6,4,1800,Kolhapur, ,1050448
2942,4,3,1972,???,no,827558
2319,2,1,1800,???,YES,557696
2244,4,5,3025,Kolhapur, ,"$767,470"
3690,2,1,3025,Pune,Yes,794055
2782,6,2,1990,Nashik,no,849796
2248,2,1,1969, pune , ,525645
2199 sqft,2,4,2020,Nagpur,Unknown,598013
791,1,3,1800, pune , ,322430
3903,4,4,,Mumbai,Yes,980690
-3154,1,5,,Nashik, ,754234
1508,4,3,, pune ,YES,
2303 sqft,2,3,1977, pune ,Unknown,568832
3523,1,5,2017,Nagpur, ,809329
3975 sqft,1,3,3025,Mumbai, ,883803
2924,2,4,,Pune, ,709178
2618,4,2,,Kolhapur,Unknown,723060
2128,5,5,1800,Nagpur,no,733081
3141,5,3,,Nashik,no,"$867,218"
"2,985",3,1,3025,Nashik,Yes,696819
3649,6,1,1800,???,No,"$959,453"
3149,1,3,3025,Nagpur, ,"$703,886"
3496 sqft,4,1,2016,Kolhapur,YES,"$899,342"
3477,4,2,1800,Kolhapur,no,902296
602,4,5,,Mumbai,Yes,439356
3123,3,4,,Mumbai,YES,"$840,839"
